ranking_type,group,trades,winrate,total_r,avg_r,profit_factor,expectancy,long_trades,short_trades,main_signal_trades,secondary_signal_trades
direction+market_regime,long|TRENDING,8,50.0,6.1265,0.7658,2.8647,0.7658,8,0,5,3
direction+market_regime,long|RANGING,8,62.5,1.5985,0.1998,1.5328,0.1998,8,0,6,2
direction+market_regime,short|HIGH_VOLATILITY,5,20.0,0.9202,0.184,1.4531,0.184,0,5,1,4
direction+market_regime,long|HIGH_VOLATILITY,2,50.0,0.0,0.0,1.0,0.0,2,0,2,0
direction+market_regime,short|TRENDING,5,0.0,-4.1098,-0.822,0.0,-0.822,0,5,2,3
direction+market_regime,short|RANGING,11,18.18,-6.6108,-0.601,0.2202,-0.601,0,11,4,7
penalties,UNKNOWN,39,33.33,-2.0754,-0.0532,0.9052,-0.0532,18,21,20,19
session+market_regime,OVERLAP|TRENDING,9,33.33,3.5167,0.3907,1.8001,0.3907,7,2,5,4
session+market_regime,LONDON|HIGH_VOLATILITY,5,40.0,2.5615,0.5123,2.8435,0.5123,1,4,2,3
session+market_regime,LONDON|RANGING,7,42.86,0.0225,0.0032,1.0065,0.0032,3,4,4,3
session+market_regime,OVERLAP|RANGING,4,50.0,-0.1265,-0.0316,0.9367,-0.0316,3,1,3,1
session+market_regime,NEW_YORK|TRENDING,4,25.0,-1.5,-0.375,0.5,-0.375,1,3,2,2
session+market_regime,NEW_YORK|RANGING,8,25.0,-4.9083,-0.6135,0.1819,-0.6135,2,6,3,5
setup_type+direction,SECONDARY_SIGNAL|long,5,80.0,4.3062,0.8612,16.083,0.8612,5,0,0,5
setup_type+direction,MAIN_SIGNAL|long,13,46.15,3.4188,0.263,1.4884,0.263,13,0,13,0
setup_type+direction,MAIN_SIGNAL|short,7,14.29,-3.049,-0.4356,0.4918,-0.4356,0,7,7,0
setup_type+direction,SECONDARY_SIGNAL|short,14,14.29,-6.7514,-0.4822,0.2166,-0.4822,0,14,0,14
setup_type+entry_context,MAIN_SIGNAL|BREAKOUT,6,50.0,3.2552,0.5425,2.0851,0.5425,6,0,6,0
setup_type+entry_context,MAIN_SIGNAL|PULLBACK,6,33.33,0.4578,0.0763,1.1144,0.0763,3,3,6,0
setup_type+entry_context,MAIN_SIGNAL|EXHAUSTION,3,33.33,-0.3432,-0.1144,0.8284,-0.1144,2,1,3,0
setup_type+entry_context,SECONDARY_SIGNAL|CHOPPY_RANGE,2,50.0,-0.5896,-0.2948,0.4104,-0.2948,1,1,0,2
setup_type+entry_context,SECONDARY_SIGNAL|BREAKOUT,17,29.41,-1.8556,-0.1092,0.7652,-0.1092,4,13,0,17
setup_type+entry_context,MAIN_SIGNAL|CHOPPY_RANGE,5,20.0,-3.0,-0.6,0.25,-0.6,2,3,5,0
setup_type+liquidity_sweep,MAIN_SIGNAL|none,20,35.0,0.3698,0.0185,1.0284,0.0185,13,7,20,0
setup_type+liquidity_sweep,SECONDARY_SIGNAL|none,19,31.58,-2.4452,-0.1287,0.7254,-0.1287,5,14,0,19
setup_type+session,MAIN_SIGNAL|LONDON,6,66.67,3.951,0.6585,2.9755,0.6585,4,2,6,0
setup_type+session,MAIN_SIGNAL|OVERLAP,8,37.5,2.4188,0.3024,1.4838,0.3024,8,0,8,0
setup_type+session,SECONDARY_SIGNAL|OVERLAP,6,33.33,0.3301,0.055,1.1621,0.055,2,4,0,6
setup_type+session,SECONDARY_SIGNAL|LONDON,6,16.67,-1.367,-0.2278,0.5232,-0.2278,0,6,0,6
setup_type+session,SECONDARY_SIGNAL|NEW_YORK,7,42.86,-1.4083,-0.2012,0.6479,-0.2012,3,4,0,7
setup_type+session,MAIN_SIGNAL|NEW_YORK,6,0.0,-6.0,-1.0,0.0,-1.0,1,5,6,0
warnings,explosive_candle_without_pullback,3,33.33,0.9867,0.3289,1.9737,0.3289,2,1,0,3
warnings,against_htf,18,33.33,-1.0058,-0.0559,0.8997,-0.0559,10,8,12,6
warnings,UNKNOWN,15,33.33,-1.0563,-0.0704,0.8808,-0.0704,5,10,6,9
warnings,low_volume,5,40.0,-1.5896,-0.3179,0.4701,-0.3179,3,2,3,2
warnings,dirty_sideways_market,6,33.33,-2.5896,-0.4316,0.3526,-0.4316,3,3,4,2
