ranking_type,group,trades,winrate,total_r,avg_r,profit_factor,expectancy,long_trades,short_trades,main_signal_trades,secondary_signal_trades
direction,long,18,55.56,7.725,0.4292,2.0603,0.4292,18,0,13,5
direction,short,21,14.29,-9.8004,-0.4667,0.3296,-0.4667,0,21,7,14
entry_context,BREAKOUT,23,34.78,1.3996,0.0609,1.1284,0.0609,10,13,6,17
entry_context,PULLBACK,6,33.33,0.4578,0.0763,1.1144,0.0763,3,3,6,0
entry_context,EXHAUSTION,3,33.33,-0.3432,-0.1144,0.8284,-0.1144,2,1,3,0
entry_context,CHOPPY_RANGE,7,28.57,-3.5896,-0.5128,0.2821,-0.5128,3,4,5,2
liquidity_sweep,none,39,33.33,-2.0754,-0.0532,0.9052,-0.0532,18,21,20,19
market_regime,TRENDING,13,30.77,2.0167,0.1551,1.2727,0.1551,8,5,7,6
market_regime,HIGH_VOLATILITY,7,28.57,0.9202,0.1315,1.3036,0.1315,2,5,3,4
market_regime,RANGING,19,36.84,-5.0123,-0.2638,0.5633,-0.2638,8,11,10,9
session,OVERLAP,14,35.71,2.7489,0.1964,1.3907,0.1964,10,4,8,6
session,LONDON,12,41.67,2.584,0.2153,1.5309,0.2153,4,8,6,6
session,NEW_YORK,13,23.08,-7.4083,-0.5699,0.2592,-0.5699,4,9,6,7
setup_type,MAIN_SIGNAL,20,35.0,0.3698,0.0185,1.0284,0.0185,13,7,20,0
setup_type,SECONDARY_SIGNAL,19,31.58,-2.4452,-0.1287,0.7254,-0.1287,5,14,0,19
trade_location,near_resistance,3,66.67,2.6323,0.8774,3.6323,0.8774,1,2,2,1
trade_location,mid_range,9,33.33,0.6613,0.0735,1.1471,0.0735,5,4,2,7
trade_location,discount_zone,6,33.33,-0.2983,-0.0497,0.8702,-0.0497,2,4,2,4
trade_location,near_support,15,33.33,-0.4811,-0.0321,0.9472,-0.0321,9,6,9,6
trade_location,premium_zone,6,16.67,-4.5896,-0.7649,0.0821,-0.7649,1,5,5,1
warnings,explosive_candle_without_pullback,3,33.33,0.9867,0.3289,1.9737,0.3289,2,1,0,3
warnings,against_htf,18,33.33,-1.0058,-0.0559,0.8997,-0.0559,10,8,12,6
warnings,low_volume,5,40.0,-1.5896,-0.3179,0.4701,-0.3179,3,2,3,2
warnings,dirty_sideways_market,6,33.33,-2.5896,-0.4316,0.3526,-0.4316,3,3,4,2
