generated_at,segment,target_context,feature,value,sample_size,total_r,profit_factor,winrate,avg_r,max_drawdown,confidence,rolling_last_10_r,rolling_last_20_r,rolling_last_30_r,degradation,toxicity_score,opportunity_score,classification
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,setup_type,SECONDARY_SIGNAL,5,-3.0308,0.0,0.0,-0.6062,-3.0308,LOW,-3.0308,-3.0308,-3.0308,0.0,81.3712,0.0,CONFIRMED_TOXIC
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,rejection_reason,directional_confluence_failed,5,-3.0308,0.0,0.0,-0.6062,-3.0308,LOW,-3.0308,-3.0308,-3.0308,0.0,81.3712,0.0,CONFIRMED_TOXIC
2026-05-29T15:17:24+00:00,SHORT_ONLY,SEGMENT,segment,SHORT_ONLY,21,-9.8004,0.3296,14.29,-0.4667,-11.3619,MEDIUM,-4.4385,-8.8004,-9.8004,-0.0228,73.283,0.342,CONFIRMED_TOXIC
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,setup_type,MAIN_SIGNAL,5,-3.0,0.25,20.0,-0.6,-3.0,LOW,-3.0,-3.0,-3.0,0.0,64.75,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,score_bucket,<60,5,-3.0,0.25,20.0,-0.6,-3.0,LOW,-3.0,-3.0,-3.0,0.0,64.75,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,entry_context,BREAKOUT,7,-3.0308,0.2481,14.29,-0.433,-3.0308,LOW,-3.0308,-3.0308,-3.0308,0.0,61.0957,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,target_context,entry_context=CHOPPY_RANGE,7,-3.5896,0.2821,28.57,-0.5128,-4.0,LOW,-3.5896,-3.5896,-3.5896,0.0,58.5329,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,entry_context,CHOPPY_RANGE,7,-3.5896,0.2821,28.57,-0.5128,-4.0,LOW,-3.5896,-3.5896,-3.5896,0.0,58.5329,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,market_regime,RANGING,7,-3.5896,0.2821,28.57,-0.5128,-4.0,LOW,-3.5896,-3.5896,-3.5896,0.0,58.5329,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,body_ratio_bucket,UNKNOWN,7,-3.5896,0.2821,28.57,-0.5128,-4.0,LOW,-3.5896,-3.5896,-3.5896,0.0,58.5329,0.0,UNSTABLE
