generated_at,group_type,group,dimension,value,trades,sample_size,confidence,winrate,total_r,avg_r,profit_factor
2026-05-30T15:11:12+00:00,direction,short,direction,short,21,21,MEDIUM,14.29,-9.8004,-0.4667,0.3296
2026-05-30T15:11:12+00:00,session,NEW_YORK,session,NEW_YORK,12,12,MEDIUM,25.0,-6.4083,-0.534,0.288
2026-05-30T15:11:12+00:00,trade_location,premium_zone,trade_location,premium_zone,7,7,LOW,14.29,-5.5896,-0.7985,0.0684
2026-05-30T15:11:12+00:00,setup_type,SECONDARY_SIGNAL,setup_type,SECONDARY_SIGNAL,18,18,MEDIUM,27.78,-4.4452,-0.247,0.5007
2026-05-30T15:11:12+00:00,score_bucket,90+,score_bucket,90+,6,6,LOW,0.0,-4.0366,-0.6728,0.0
2026-05-30T15:11:12+00:00,market_regime,RANGING,market_regime,RANGING,18,18,MEDIUM,38.89,-4.0123,-0.2229,0.6171
2026-05-30T15:11:12+00:00,regime,RANGING,regime,RANGING,18,18,MEDIUM,38.89,-4.0123,-0.2229,0.6171
2026-05-30T15:11:12+00:00,entry_context,CHOPPY_RANGE,entry_context,CHOPPY_RANGE,7,7,LOW,28.57,-3.5896,-0.5128,0.2821
2026-05-30T15:11:12+00:00,score_bucket,<60,score_bucket,<60,17,17,MEDIUM,29.41,-3.0197,-0.1776,0.7369
2026-05-30T15:11:12+00:00,warnings,dirty_sideways_market,warnings,dirty_sideways_market,6,6,LOW,33.33,-2.5896,-0.4316,0.3526
2026-05-30T15:11:12+00:00,warnings,low_volume,warnings,low_volume,5,5,LOW,40.0,-1.5896,-0.3179,0.4701
2026-05-30T15:11:12+00:00,trade_location,mid_range,trade_location,mid_range,8,8,LOW,25.0,-1.3387,-0.1673,0.7022
2026-05-30T15:11:12+00:00,warnings,explosive_candle_without_pullback,warnings,explosive_candle_without_pullback,2,2,LOW,0.0,-1.0133,-0.5067,0.0
2026-05-30T15:11:12+00:00,entry_context,PULLBACK,entry_context,PULLBACK,7,7,LOW,28.57,-0.5422,-0.0775,0.8916
2026-05-30T15:11:12+00:00,entry_context,EXHAUSTION,entry_context,EXHAUSTION,3,3,LOW,33.33,-0.3432,-0.1144,0.8284
2026-05-30T15:11:12+00:00,trade_location,discount_zone,trade_location,discount_zone,6,6,LOW,33.33,-0.2983,-0.0497,0.8702
2026-05-30T15:11:12+00:00,session,OVERLAP,session,OVERLAP,14,14,MEDIUM,28.57,-0.2511,-0.0179,0.9688
2026-05-30T15:11:12+00:00,market_regime,HIGH_VOLATILITY,market_regime,HIGH_VOLATILITY,8,8,LOW,25.0,-0.0798,-0.01,0.9802
2026-05-30T15:11:12+00:00,regime,HIGH_VOLATILITY,regime,HIGH_VOLATILITY,8,8,LOW,25.0,-0.0798,-0.01,0.9802
2026-05-30T15:11:12+00:00,warnings,against_htf,warnings,against_htf,19,19,MEDIUM,36.84,0.4942,0.026,1.0493
2026-05-30T15:11:12+00:00,market_regime,TRENDING,market_regime,TRENDING,14,14,MEDIUM,28.57,0.5167,0.0369,1.0615
2026-05-30T15:11:12+00:00,regime,TRENDING,regime,TRENDING,14,14,MEDIUM,28.57,0.5167,0.0369,1.0615
2026-05-30T15:11:12+00:00,trade_location,near_support,trade_location,near_support,14,14,MEDIUM,35.71,0.5189,0.0371,1.064
2026-05-30T15:11:12+00:00,score_bucket,80-90,score_bucket,80-90,5,5,LOW,40.0,0.5209,0.1042,1.3749
2026-05-30T15:11:12+00:00,setup_type,MAIN_SIGNAL,setup_type,MAIN_SIGNAL,22,22,MEDIUM,36.36,0.8698,0.0395,1.0621
2026-05-30T15:11:12+00:00,entry_context,BREAKOUT,entry_context,BREAKOUT,23,23,MEDIUM,34.78,0.8996,0.0391,1.0825
2026-05-30T15:11:12+00:00,score_bucket,70-80,score_bucket,70-80,1,1,LOW,100.0,1.0,1.0,
2026-05-30T15:11:12+00:00,score_bucket,60-70,score_bucket,60-70,11,11,MEDIUM,45.45,1.96,0.1782,1.3267
2026-05-30T15:11:12+00:00,session,LONDON,session,LONDON,14,14,MEDIUM,42.86,3.084,0.2203,1.5257
2026-05-30T15:11:12+00:00,trade_location,near_resistance,trade_location,near_resistance,5,5,LOW,60.0,3.1323,0.6265,2.5661
2026-05-30T15:11:12+00:00,direction,long,direction,long,19,19,MEDIUM,52.63,6.225,0.3276,1.7513
