generated_at,analysis_type,feature,value,sample_size,closed_trades,allowed_count,blocked_count,wins,losses,winrate,total_r,avg_r,profit_factor,confidence,driver_score,interpretation
2026-05-29T15:17:24+00:00,driver,has_range_penalty,true,7,7,7,0,2,5,28.57,1.584,0.2263,1.5525,LOW,2.2978,mixed_or_neutral
2026-05-29T15:17:24+00:00,driver,penalty,market_structure_range_penalty:10,7,7,7,0,2,5,28.57,1.584,0.2263,1.5525,LOW,2.2978,mixed_or_neutral
2026-05-29T15:17:24+00:00,driver,rejection_reason,market_structure_range_penalty,7,7,7,0,2,5,28.57,1.584,0.2263,1.5525,LOW,2.2978,mixed_or_neutral
2026-05-29T15:17:24+00:00,driver,trend_alignment,aligned,8,8,8,0,2,6,25.0,0.584,0.073,1.151,LOW,1.7407,mixed_or_neutral
2026-05-29T15:17:24+00:00,driver,body_bucket,UNKNOWN,9,9,9,0,2,7,22.22,-0.416,-0.0462,0.9145,LOW,1.3905,negative_driver
2026-05-29T15:17:24+00:00,driver,has_penalties,true,9,9,9,0,2,7,22.22,-0.416,-0.0462,0.9145,LOW,1.3905,negative_driver
2026-05-29T15:17:24+00:00,driver,score_bucket,<70,5,5,5,0,1,4,20.0,-0.5265,-0.1053,0.8486,LOW,1.11,negative_driver
2026-05-29T15:17:24+00:00,driver,rr_bucket,rr_1_5_to_2,5,5,5,0,1,4,20.0,-0.367,-0.0734,0.8034,LOW,1.0967,negative_driver
2026-05-29T15:17:24+00:00,driver,has_secondary_setup_requirements_failed,true,5,5,5,0,1,4,20.0,-0.367,-0.0734,0.8034,LOW,1.0967,negative_driver
2026-05-29T15:17:24+00:00,driver,rejection_reason,secondary_setup_requirements_failed,5,5,5,0,1,4,20.0,-0.367,-0.0734,0.8034,LOW,1.0967,negative_driver
2026-05-29T15:17:24+00:00,driver,setup_type,SECONDARY_SIGNAL,6,6,6,0,1,5,16.67,-1.367,-0.2278,0.5232,LOW,0.6621,negative_driver
