label,label_reason,result_r,signal_id,timestamp,symbol,direction,market_regime,session,entry_context,trade_location,setup_type,score,trend,trend_higher_timeframe,timeframe_alignment,rsi,body_ratio,volume_ratio,atr,distance_to_liquidity_atr,liquidity_sweep,break_of_structure,has_against_htf,has_low_volume,has_dirty_sideways_market,has_market_structure_range_penalty,has_timeframe_alignment_penalty,has_secondary_confluence_bonus,warnings_count,penalties_count,meta_decision_score,trade_quality_score,edge_confirmation_score
0,recorded_status_sl,-1.0,paper_574e48fcba32,2026-04-28T10:02:12.133433+00:00,SOLUSDT,long,RANGING,LONDON,CHOPPY_RANGE,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,True,True,False,False,False,3,0,,,
0,recorded_status_sl,-1.0,paper_7e59b7f6c9e5,2026-04-28T10:02:16.307129+00:00,AVAXUSDT,short,RANGING,LONDON,BREAKOUT,discount_zone,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_649bf046a003,2026-04-28T14:14:33.249576+00:00,BTCUSDT,long,TRENDING,OVERLAP,BREAKOUT,near_support,MAIN_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
1,recorded_status_tp,1.6568,paper_510c20e135f8,2026-04-28T14:14:38.968556+00:00,ETHUSDT,long,TRENDING,OVERLAP,EXHAUSTION,mid_range,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_c94d19d20d84,2026-04-28T14:14:41.645716+00:00,SOLUSDT,long,TRENDING,OVERLAP,EXHAUSTION,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,recorded_status_timeout,-0.382,paper_17caaed62ea9,2026-04-28T14:14:43.767875+00:00,XRPUSDT,short,TRENDING,OVERLAP,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_48a7dc3fae23,2026-04-28T14:14:45.748676+00:00,BNBUSDT,long,TRENDING,OVERLAP,PULLBACK,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
1,recorded_status_tp,4.2552,paper_2d92dc2ee93c,2026-04-28T15:00:41.459369+00:00,BTCUSDT,long,TRENDING,OVERLAP,BREAKOUT,near_support,MAIN_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,recorded_status_timeout,-0.7278,paper_bf945802b0be,2026-04-28T15:00:45.167918+00:00,XRPUSDT,short,TRENDING,OVERLAP,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_72cb1df1ca8a,2026-04-28T15:00:45.883088+00:00,BNBUSDT,long,RANGING,OVERLAP,PULLBACK,mid_range,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
1,recorded_status_tp,1.5068,paper_870fb8b37b42,2026-04-28T15:00:47.446088+00:00,AVAXUSDT,long,RANGING,OVERLAP,PULLBACK,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,recorded_status_timeout,-0.4775,paper_6a4932df60ec,2026-04-29T13:13:09.111180+00:00,XRPUSDT,short,RANGING,LONDON,BREAKOUT,discount_zone,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
1,recorded_status_tp,1.5,paper_292d78d82e52,2026-04-29T13:13:10.433358+00:00,BNBUSDT,short,RANGING,LONDON,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_0b7e085088d6,2026-04-29T14:31:31.479644+00:00,XRPUSDT,long,RANGING,OVERLAP,BREAKOUT,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,recorded_status_timeout,0.3667,paper_ae3246da176e,2026-04-29T14:31:33.493087+00:00,BNBUSDT,short,RANGING,OVERLAP,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,recorded_status_timeout,-0.6413,paper_dcc18262f0d7,2026-04-29T17:01:29.578609+00:00,DOGEUSDT,short,HIGH_VOLATILITY,OVERLAP,BREAKOUT,discount_zone,SECONDARY_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_d765e905e49e,2026-05-01T10:12:58.032276+00:00,DOGEUSDT,short,HIGH_VOLATILITY,LONDON,BREAKOUT,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,True,True,False,False,False,False,2,0,,,
,recorded_status_timeout,1.0,paper_0fb769a9b409,2026-05-02T12:12:45.394516+00:00,DOGEUSDT,long,RANGING,LONDON,CHOPPY_RANGE,near_support,MAIN_SIGNAL,,,,,,,,,,,,False,True,True,False,False,False,2,0,,,
1,recorded_status_tp,2.0,live_1abe8095a83a,2026-05-02T14:18:47.675842+00:00,DOGEUSDT,long,TRENDING,OVERLAP,BREAKOUT,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,1,0,,,
,recorded_status_timeout,-0.2855,paper_4dce208723e8,2026-05-02T14:18:47.676762+00:00,DOGEUSDT,long,TRENDING,OVERLAP,BREAKOUT,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,1,0,,,
