group_type,group,rows,labeled_rows,positive_labels,negative_labels,winrate,avg_result_r,total_result_r,tp_hit_count,sl_hit_count,unknown_count,confidence_level,insufficient_data
direction,short,125,15,2,13,13.33,-0.5699,-8.549,2,13,110,MEDIUM,False
direction,long,171,17,6,11,35.29,0.0835,1.4188,6,11,154,MEDIUM,False
direction+market_regime,short|TRENDING,19,4,0,4,0.0,-1.0,-4.0,0,4,15,LOW,True
direction+market_regime,long|HIGH_VOLATILITY,127,4,0,4,0.0,-1.0,-4.0,0,4,123,LOW,True
direction+market_regime,short|RANGING,16,9,1,8,11.11,-0.7222,-6.5,1,8,7,LOW,True
direction+market_regime,long|RANGING,28,5,1,4,20.0,-0.4986,-2.4932,1,4,23,LOW,True
direction+market_regime,short|LOW_VOLATILITY,45,0,0,0,0.0,0.0,0,0,0,45,LOW,True
direction+market_regime,long|LOW_VOLATILITY,1,0,0,0,0.0,0.0,0,0,0,1,LOW,True
direction+market_regime,short|HIGH_VOLATILITY,45,2,1,1,50.0,0.9755,1.951,1,1,43,LOW,True
direction+market_regime,long|TRENDING,15,8,5,3,62.5,0.989,7.912,5,3,7,LOW,True
entry_context,CHOPPY_RANGE,16,5,0,5,0.0,-1.0,-5.0,0,5,11,LOW,True
entry_context,EXHAUSTION,21,3,1,2,33.33,-0.1144,-0.3432,1,2,18,LOW,True
entry_context,PULLBACK,102,7,2,5,28.57,-0.0775,-0.5422,2,5,95,LOW,True
entry_context,BREAKOUT,57,17,5,12,29.41,-0.0732,-1.2448,5,12,40,MEDIUM,False
entry_context,UNKNOWN,98,0,0,0,0.0,0.0,0,0,0,98,LOW,True
entry_context,IMPULSE,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
has_against_htf,False,255,18,3,15,16.67,-0.4025,-7.2448,3,15,237,MEDIUM,False
has_against_htf,True,41,14,5,9,35.71,0.0082,0.1146,5,9,27,MEDIUM,False
has_dirty_sideways_market,True,15,4,0,4,0.0,-1.0,-4.0,0,4,11,LOW,True
has_dirty_sideways_market,False,281,28,8,20,28.57,-0.1118,-3.1302,8,20,253,MEDIUM,False
has_low_volume,True,7,3,0,3,0.0,-1.0,-3.0,0,3,4,LOW,True
has_low_volume,False,289,29,8,21,27.59,-0.1424,-4.1302,8,21,260,MEDIUM,False
has_market_structure_range_penalty,False,255,32,8,24,25.0,-0.2228,-7.1302,8,24,223,HIGH,False
has_market_structure_range_penalty,True,41,0,0,0,0.0,0.0,0,0,0,41,LOW,True
has_secondary_confluence_bonus,False,251,32,8,24,25.0,-0.2228,-7.1302,8,24,219,HIGH,False
has_secondary_confluence_bonus,True,45,0,0,0,0.0,0.0,0,0,0,45,LOW,True
has_timeframe_alignment_penalty,False,296,32,8,24,25.0,-0.2228,-7.1302,8,24,264,HIGH,False
market_regime,RANGING,44,14,2,12,14.29,-0.6424,-8.9932,2,12,30,MEDIUM,False
market_regime,HIGH_VOLATILITY,172,6,1,5,16.67,-0.3415,-2.049,1,5,166,LOW,True
market_regime,LOW_VOLATILITY,46,0,0,0,0.0,0.0,0,0,0,46,LOW,True
market_regime,TRENDING,34,12,5,7,41.67,0.326,3.912,5,7,22,MEDIUM,False
market_regime+entry_context,RANGING|CHOPPY_RANGE,7,5,0,5,0.0,-1.0,-5.0,0,5,2,LOW,True
market_regime+entry_context,HIGH_VOLATILITY|BREAKOUT,23,5,0,5,0.0,-1.0,-5.0,0,5,18,LOW,True
market_regime+entry_context,TRENDING|PULLBACK,7,4,0,4,0.0,-1.0,-4.0,0,4,3,LOW,True
market_regime+entry_context,RANGING|EXHAUSTION,3,1,0,1,0.0,-1.0,-1.0,0,1,2,LOW,True
