feature,groups,rows,labeled_rows,positive_labels,negative_labels,winrate,avg_result_r,total_result_r,best_group,best_avg_result_r,worst_group,worst_avg_result_r
direction,2,296,32,8,24,25.0,-0.2228,-7.1302,long,0.0835,short,-0.5699
direction+market_regime,8,296,32,8,24,25.0,-0.2228,-7.1302,,,short|TRENDING,-1.0
entry_context,6,296,32,8,24,25.0,-0.2228,-7.1302,BREAKOUT,-0.0732,CHOPPY_RANGE,-1.0
has_against_htf,2,296,32,8,24,25.0,-0.2228,-7.1302,True,0.0082,False,-0.4025
has_dirty_sideways_market,2,296,32,8,24,25.0,-0.2228,-7.1302,False,-0.1118,True,-1.0
has_low_volume,2,296,32,8,24,25.0,-0.2228,-7.1302,False,-0.1424,True,-1.0
has_market_structure_range_penalty,2,296,32,8,24,25.0,-0.2228,-7.1302,False,-0.2228,False,-0.2228
has_secondary_confluence_bonus,2,296,32,8,24,25.0,-0.2228,-7.1302,False,-0.2228,False,-0.2228
has_timeframe_alignment_penalty,1,296,32,8,24,25.0,-0.2228,-7.1302,False,-0.2228,False,-0.2228
market_regime,4,296,32,8,24,25.0,-0.2228,-7.1302,TRENDING,0.326,RANGING,-0.6424
market_regime+entry_context,18,296,32,8,24,25.0,-0.2228,-7.1302,,,RANGING|CHOPPY_RANGE,-1.0
session,5,296,32,8,24,25.0,-0.2228,-7.1302,OVERLAP,0.1182,NEW_YORK,-0.7917
setup_type,4,296,32,8,24,25.0,-0.2228,-7.1302,MAIN_SIGNAL,-0.1121,SECONDARY_SIGNAL,-0.3846
setup_type+entry_context,12,296,32,8,24,25.0,-0.2228,-7.1302,SECONDARY_SIGNAL|BREAKOUT,-0.3333,MAIN_SIGNAL|CHOPPY_RANGE,-1.0
symbol,40,296,32,8,24,25.0,-0.2228,-7.1302,,,SOLUSDT,-1.0
trade_location,6,296,32,8,24,25.0,-0.2228,-7.1302,near_support,-0.0671,premium_zone,-1.0
trade_location+entry_context,22,296,32,8,24,25.0,-0.2228,-7.1302,,,premium_zone|CHOPPY_RANGE,-1.0
