generated_at,source_csv,symbol,direction,setup_type,market_regime,session,entry_context,trade_location,status,result_r,sample_size,confidence,winrate,avg_r,profit_factor,PF,mfe_r,mae_r,bars_held,outcome_quality_score,outcome_grade,outcome_type,post_entry_behavior,mfe_efficiency,mae_pressure,time_to_resolution,outcome_reasons,outcome_risks
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,SOLUSDT,long,MAIN_SIGNAL,RANGING,LONDON,CHOPPY_RANGE,near_support,sl_hit,-1.0,2,LOW,50.0,0.0,1.0,1.0,1.1624,-1.4207,4,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.8603,1.4207,4,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,AVAXUSDT,short,SECONDARY_SIGNAL,RANGING,LONDON,BREAKOUT,discount_zone,sl_hit,-1.0,3,LOW,33.33,0.0075,1.0152,1.0152,0.2217,-1.1085,12,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-4.5106,1.1085,12,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BTCUSDT,long,MAIN_SIGNAL,TRENDING,OVERLAP,BREAKOUT,near_support,sl_hit,-1.0,2,LOW,50.0,1.6276,4.2552,4.2552,0.6589,-1.5538,3,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-1.5177,1.5538,3,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ETHUSDT,long,MAIN_SIGNAL,TRENDING,OVERLAP,EXHAUSTION,mid_range,tp2_hit,1.6568,2,LOW,50.0,0.3284,1.6568,1.6568,2.6676,-0.8697,9,76.63,A,DIRTY_WIN,CHOPPY_RECOVERY,0.6211,0.8697,9,"[""resultado positivo"", ""MFE favorable""]","[""win con presión o resolución lenta""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,SOLUSDT,long,MAIN_SIGNAL,TRENDING,OVERLAP,EXHAUSTION,near_support,sl_hit,-1.0,2,LOW,50.0,0.3284,1.6568,1.6568,1.0051,-1.2731,3,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.9949,1.2731,3,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,XRPUSDT,short,SECONDARY_SIGNAL,TRENDING,OVERLAP,BREAKOUT,near_support,expired,-0.382,2,LOW,0.0,-0.5549,0.0,0.0,0.4529,-0.8467,24,27.47,TRASH,TIMEOUT,SLOW_GRIND,-0.8435,0.8467,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,long,MAIN_SIGNAL,TRENDING,OVERLAP,PULLBACK,near_support,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.6666,-1.5224,3,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-1.5002,1.5224,3,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BTCUSDT,long,MAIN_SIGNAL,TRENDING,OVERLAP,BREAKOUT,near_support,tp2_hit,4.2552,2,LOW,50.0,1.6276,4.2552,4.2552,4.5849,-0.7892,6,84.0,A,DIRTY_WIN,CHOPPY_RECOVERY,0.9281,0.7892,6,"[""resultado positivo"", ""MFE favorable"", ""resolución rápida favorable""]","[""win con presión o resolución lenta""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,XRPUSDT,short,SECONDARY_SIGNAL,TRENDING,OVERLAP,BREAKOUT,near_support,expired,-0.7278,2,LOW,0.0,-0.5549,0.0,0.0,0.0980,-0.8823,24,26.09,TRASH,TIMEOUT,SLOW_GRIND,-7.4265,0.8823,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,long,MAIN_SIGNAL,RANGING,OVERLAP,PULLBACK,mid_range,sl_hit,-1.0,2,LOW,50.0,0.2534,1.5068,1.5068,1.0054,-1.6215,7,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.9946,1.6215,7,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,AVAXUSDT,long,MAIN_SIGNAL,RANGING,OVERLAP,PULLBACK,near_support,tp2_hit,1.5068,2,LOW,50.0,0.2534,1.5068,1.5068,2.4658,-0.8219,5,80.03,A,DIRTY_WIN,CHOPPY_RECOVERY,0.6111,0.8219,5,"[""resultado positivo"", ""MFE favorable"", ""resolución rápida favorable""]","[""win con presión o resolución lenta""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,XRPUSDT,short,SECONDARY_SIGNAL,RANGING,LONDON,BREAKOUT,discount_zone,expired,-0.4775,3,LOW,33.33,0.0075,1.0152,1.0152,0.6700,-0.6540,24,27.09,TRASH,TIMEOUT,SLOW_GRIND,-0.7127,0.654,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,short,SECONDARY_SIGNAL,RANGING,LONDON,BREAKOUT,near_support,tp2_hit,1.5,3,LOW,33.33,0.0075,1.0152,1.0152,1.5345,-0.0517,5,100.0,A+,CLEAN_WIN,STRONG_CONTINUATION,0.9775,0.0517,5,"[""resultado positivo"", ""win limpio: MAE bajo y resolución eficiente"", ""MFE favorable"", ""resolución rápida favorable""]",[]
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,XRPUSDT,long,MAIN_SIGNAL,RANGING,OVERLAP,BREAKOUT,near_support,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.0000,-1.2050,1,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,,1.205,1,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,short,SECONDARY_SIGNAL,RANGING,OVERLAP,BREAKOUT,near_support,expired,0.3667,1,LOW,100.0,0.3667,,,0.9815,-0.0844,24,30.47,TRASH,TIMEOUT,SLOW_GRIND,0.3736,0.0844,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOGEUSDT,short,SECONDARY_SIGNAL,HIGH_VOLATILITY,OVERLAP,BREAKOUT,discount_zone,expired,-0.6413,1,LOW,0.0,-0.6413,0.0,0.0,0.0000,-0.8136,24,26.43,TRASH,TIMEOUT,SLOW_GRIND,,0.8136,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
