scenario,signal_id,timestamp,symbol,direction,setup_type,result_r,meta_filter_state,meta_filter_evaluable,kill_switch_state,blocked,block_reason,executed,cumulative_r
BASELINE,sig_5d7d56755d4c,2026-05-13T10:45:40.009466+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-1.0
BASELINE,sig_33657c6ec74c,2026-05-15T09:19:25.018331+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-2.0
BASELINE,sig_5f7a61933413,2026-05-18T11:46:44.615379+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-3.0
BASELINE,sig_70d343691dbf,2026-05-18T11:47:00.664257+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-4.0
BASELINE,sig_61419fc71e0a,2026-05-18T11:51:36.863401+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-5.0
BASELINE,sig_0b871f738554,2026-05-18T11:55:36.397696+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-6.0
BASELINE,sig_376c054e79a9,2026-05-18T12:19:10.044919+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-7.0
BASELINE,sig_505089cfc123,2026-05-21T06:49:26.452365+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-8.0
BASELINE,sig_f6ae556cae4d,2026-05-21T06:56:14.321182+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-9.0
BASELINE,sig_bc30a6c8a6ea,2026-05-21T07:02:29.527807+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-10.0
BASELINE,sig_849e35d9ee1e,2026-05-21T17:17:12.720855+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-11.0
BASELINE,sig_12d50df301da,2026-05-24T18:18:24.486248+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-12.0
BASELINE,sig_f9640f33f3fc,2026-05-24T18:25:27.327984+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-13.0
BASELINE,sig_4eccce2c8ce8,2026-05-24T18:26:27.147554+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-14.0
BASELINE,sig_ff3438dfcfd9,2026-05-24T18:48:40.081609+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-15.0
BASELINE,sig_54a9f292265d,2026-05-24T18:49:01.212111+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-16.0
BASELINE,sig_09dd5d458262,2026-05-24T19:00:19.114745+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-17.0
BASELINE,sig_6b186c36df20,2026-05-24T19:04:02.360779+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-18.0
BASELINE,sig_c805dcdfd353,2026-05-24T19:11:54.951423+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-19.0
BASELINE,sig_37696a7ca71d,2026-05-24T19:12:06.112514+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-20.0
BASELINE,sig_f7d5d4bbd399,2026-05-24T19:16:24.996678+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-21.0
BASELINE,sig_14df0691ce4e,2026-05-24T19:17:14.751194+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-22.0
BASELINE,sig_7a1af806d919,2026-05-24T20:51:23.516664+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-23.0
META_FILTER,sig_5d7d56755d4c,2026-05-13T10:45:40.009466+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-1.0
META_FILTER,sig_33657c6ec74c,2026-05-15T09:19:25.018331+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-2.0
META_FILTER,sig_5f7a61933413,2026-05-18T11:46:44.615379+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-3.0
META_FILTER,sig_70d343691dbf,2026-05-18T11:47:00.664257+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-4.0
META_FILTER,sig_61419fc71e0a,2026-05-18T11:51:36.863401+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-5.0
META_FILTER,sig_0b871f738554,2026-05-18T11:55:36.397696+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-6.0
META_FILTER,sig_376c054e79a9,2026-05-18T12:19:10.044919+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-7.0
META_FILTER,sig_505089cfc123,2026-05-21T06:49:26.452365+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-8.0
META_FILTER,sig_f6ae556cae4d,2026-05-21T06:56:14.321182+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-9.0
META_FILTER,sig_bc30a6c8a6ea,2026-05-21T07:02:29.527807+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-10.0
META_FILTER,sig_849e35d9ee1e,2026-05-21T17:17:12.720855+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-11.0
META_FILTER,sig_12d50df301da,2026-05-24T18:18:24.486248+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-12.0
META_FILTER,sig_f9640f33f3fc,2026-05-24T18:25:27.327984+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-13.0
META_FILTER,sig_4eccce2c8ce8,2026-05-24T18:26:27.147554+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-14.0
META_FILTER,sig_ff3438dfcfd9,2026-05-24T18:48:40.081609+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-15.0
META_FILTER,sig_54a9f292265d,2026-05-24T18:49:01.212111+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-16.0
META_FILTER,sig_09dd5d458262,2026-05-24T19:00:19.114745+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-17.0
META_FILTER,sig_6b186c36df20,2026-05-24T19:04:02.360779+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-18.0
META_FILTER,sig_c805dcdfd353,2026-05-24T19:11:54.951423+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-19.0
META_FILTER,sig_37696a7ca71d,2026-05-24T19:12:06.112514+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-20.0
META_FILTER,sig_f7d5d4bbd399,2026-05-24T19:16:24.996678+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-21.0
META_FILTER,sig_14df0691ce4e,2026-05-24T19:17:14.751194+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-22.0
META_FILTER,sig_7a1af806d919,2026-05-24T20:51:23.516664+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-23.0
KILL_SWITCH,sig_5d7d56755d4c,2026-05-13T10:45:40.009466+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-1.0
KILL_SWITCH,sig_33657c6ec74c,2026-05-15T09:19:25.018331+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-2.0
KILL_SWITCH,sig_5f7a61933413,2026-05-18T11:46:44.615379+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-3.0
KILL_SWITCH,sig_70d343691dbf,2026-05-18T11:47:00.664257+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-4.0
KILL_SWITCH,sig_61419fc71e0a,2026-05-18T11:51:36.863401+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-5.0
KILL_SWITCH,sig_0b871f738554,2026-05-18T11:55:36.397696+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-6.0
KILL_SWITCH,sig_376c054e79a9,2026-05-18T12:19:10.044919+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-7.0
KILL_SWITCH,sig_505089cfc123,2026-05-21T06:49:26.452365+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_f6ae556cae4d,2026-05-21T06:56:14.321182+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_bc30a6c8a6ea,2026-05-21T07:02:29.527807+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_849e35d9ee1e,2026-05-21T17:17:12.720855+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_12d50df301da,2026-05-24T18:18:24.486248+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_f9640f33f3fc,2026-05-24T18:25:27.327984+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_4eccce2c8ce8,2026-05-24T18:26:27.147554+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_ff3438dfcfd9,2026-05-24T18:48:40.081609+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_54a9f292265d,2026-05-24T18:49:01.212111+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_09dd5d458262,2026-05-24T19:00:19.114745+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_6b186c36df20,2026-05-24T19:04:02.360779+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_c805dcdfd353,2026-05-24T19:11:54.951423+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_37696a7ca71d,2026-05-24T19:12:06.112514+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_f7d5d4bbd399,2026-05-24T19:16:24.996678+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_14df0691ce4e,2026-05-24T19:17:14.751194+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
KILL_SWITCH,sig_7a1af806d919,2026-05-24T20:51:23.516664+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_5d7d56755d4c,2026-05-13T10:45:40.009466+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-1.0
META_FILTER_PLUS_KILL_SWITCH,sig_33657c6ec74c,2026-05-15T09:19:25.018331+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-2.0
META_FILTER_PLUS_KILL_SWITCH,sig_5f7a61933413,2026-05-18T11:46:44.615379+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-3.0
META_FILTER_PLUS_KILL_SWITCH,sig_70d343691dbf,2026-05-18T11:47:00.664257+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-4.0
META_FILTER_PLUS_KILL_SWITCH,sig_61419fc71e0a,2026-05-18T11:51:36.863401+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-5.0
META_FILTER_PLUS_KILL_SWITCH,sig_0b871f738554,2026-05-18T11:55:36.397696+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-6.0
META_FILTER_PLUS_KILL_SWITCH,sig_376c054e79a9,2026-05-18T12:19:10.044919+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,false,False,,True,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_505089cfc123,2026-05-21T06:49:26.452365+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_f6ae556cae4d,2026-05-21T06:56:14.321182+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_bc30a6c8a6ea,2026-05-21T07:02:29.527807+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_849e35d9ee1e,2026-05-21T17:17:12.720855+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_12d50df301da,2026-05-24T18:18:24.486248+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_f9640f33f3fc,2026-05-24T18:25:27.327984+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_4eccce2c8ce8,2026-05-24T18:26:27.147554+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_ff3438dfcfd9,2026-05-24T18:48:40.081609+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_54a9f292265d,2026-05-24T18:49:01.212111+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_09dd5d458262,2026-05-24T19:00:19.114745+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_6b186c36df20,2026-05-24T19:04:02.360779+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_c805dcdfd353,2026-05-24T19:11:54.951423+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_37696a7ca71d,2026-05-24T19:12:06.112514+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_f7d5d4bbd399,2026-05-24T19:16:24.996678+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_14df0691ce4e,2026-05-24T19:17:14.751194+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
META_FILTER_PLUS_KILL_SWITCH,sig_7a1af806d919,2026-05-24T20:51:23.516664+00:00,BTCUSDT,long,MAIN_SIGNAL,-1.0,unknown,false,true,True,kill_switch,False,-7.0
