generated_at,context,context_value,range_penalty_trades,no_range_penalty_trades,range_penalty_winrate,no_range_penalty_winrate,range_penalty_total_r,no_range_penalty_total_r,range_penalty_avg_r,no_range_penalty_avg_r,range_penalty_profit_factor,no_range_penalty_profit_factor,delta_avg_r_penalty_vs_no_penalty,delta_total_r_penalty_vs_no_penalty,sample_confidence,shadow_interpretation,recommended_action
2026-05-28T15:56:04+00:00,direction+market_regime,long|RANGING,8,1,62.5,0.0,1.5985,-1.0,0.1998,-1.0,1.5328,0.0,1.1998,2.5985,LOW,RANGE_PENALTY_MAY_DESTROY_EDGE,keep_shadow_tracking_consider_relaxed_canary
2026-05-28T15:56:04+00:00,trade_location,near_support,7,8,57.14,12.5,1.3735,-1.8546,0.1962,-0.2318,1.4578,0.6965,0.428,3.2281,LOW,RANGE_PENALTY_MAY_DESTROY_EDGE,keep_shadow_tracking_consider_relaxed_canary
2026-05-28T15:56:04+00:00,direction,long,10,13,60.0,38.46,1.5985,3.6265,0.1598,0.279,1.3996,1.4978,-0.1192,-2.028,MEDIUM,RANGE_PENALTY_MAY_DESTROY_EDGE,keep_shadow_tracking_consider_relaxed_canary
2026-05-28T15:56:04+00:00,direction+entry_context,long|BREAKOUT,5,10,60.0,40.0,0.6813,3.9697,0.1363,0.397,1.3407,1.7511,-0.2607,-3.2884,LOW,RANGE_PENALTY_MAY_DESTROY_EDGE,keep_shadow_tracking_consider_relaxed_canary
2026-05-28T15:56:04+00:00,setup_type+direction,MAIN_SIGNAL|long,7,7,57.14,42.86,1.5068,3.412,0.2153,0.4874,1.5023,1.853,-0.2721,-1.9052,LOW,RANGE_PENALTY_MAY_DESTROY_EDGE,keep_shadow_tracking_consider_relaxed_canary
2026-05-28T15:56:04+00:00,direction+entry_context,short|PULLBACK,1,3,100.0,0.0,2.951,-3.0,2.951,-1.0,,0.0,3.951,5.951,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,short|HIGH_VOLATILITY|PULLBACK,1,0,100.0,0.0,2.951,0,2.951,0.0,,0.0,2.951,2.951,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,entry_context,PULLBACK,3,4,66.67,0.0,3.4578,-4.0,1.1526,-1.0,4.4578,0.0,2.1526,7.4578,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,SHORT+HIGH_VOLATILITY,SHORT+HIGH_VOLATILITY,3,2,33.33,0.0,2.5615,-1.6413,0.8538,-0.8206,7.5764,0.0,1.6744,4.2028,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime,short|HIGH_VOLATILITY,3,2,33.33,0.0,2.5615,-1.6413,0.8538,-0.8206,7.5764,0.0,1.6744,4.2028,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,HIGH_VOLATILITY,HIGH_VOLATILITY,5,5,40.0,0.0,2.5615,-4.6413,0.5123,-0.9283,2.8435,0.0,1.4406,7.2028,LOW,NEUTRAL_OR_MIXED,no_change
2026-05-28T15:56:04+00:00,market_regime,HIGH_VOLATILITY,5,5,40.0,0.0,2.5615,-4.6413,0.5123,-0.9283,2.8435,0.0,1.4406,7.2028,LOW,NEUTRAL_OR_MIXED,no_change
