generated_at,group_type,group,dimension,value,trades,sample_size,confidence,winrate,total_r,avg_r,profit_factor
2026-05-30T15:11:12+00:00,liquidity_sweep,none,liquidity_sweep,none,40,40,HIGH,32.5,-3.5754,-0.0894,0.8439
2026-05-30T15:11:12+00:00,setup_type,MAIN_SIGNAL,setup_type,MAIN_SIGNAL,22,22,MEDIUM,36.36,0.8698,0.0395,1.0621
2026-05-30T15:11:12+00:00,setup_type,SECONDARY_SIGNAL,setup_type,SECONDARY_SIGNAL,18,18,MEDIUM,27.78,-4.4452,-0.247,0.5007
2026-05-30T15:11:12+00:00,setup_type_liquidity_sweep,MAIN_SIGNAL|none,setup_type_liquidity_sweep,MAIN_SIGNAL|none,22,22,MEDIUM,36.36,0.8698,0.0395,1.0621
2026-05-30T15:11:12+00:00,setup_type_liquidity_sweep,SECONDARY_SIGNAL|none,setup_type_liquidity_sweep,SECONDARY_SIGNAL|none,18,18,MEDIUM,27.78,-4.4452,-0.247,0.5007
2026-05-30T15:11:12+00:00,setup_type_market_structure,MAIN_SIGNAL|UNKNOWN,setup_type_market_structure,MAIN_SIGNAL|UNKNOWN,22,22,MEDIUM,36.36,0.8698,0.0395,1.0621
2026-05-30T15:11:12+00:00,setup_type_market_structure,SECONDARY_SIGNAL|UNKNOWN,setup_type_market_structure,SECONDARY_SIGNAL|UNKNOWN,18,18,MEDIUM,27.78,-4.4452,-0.247,0.5007
2026-05-30T15:11:12+00:00,setup_type_warnings,MAIN_SIGNAL|against_htf,setup_type_warnings,MAIN_SIGNAL|against_htf,13,13,MEDIUM,38.46,0.6146,0.0473,1.0768
2026-05-30T15:11:12+00:00,setup_type_warnings,MAIN_SIGNAL|dirty_sideways_market,setup_type_warnings,MAIN_SIGNAL|dirty_sideways_market,4,4,LOW,25.0,-2.0,-0.5,0.3333
2026-05-30T15:11:12+00:00,setup_type_warnings,MAIN_SIGNAL|low_volume,setup_type_warnings,MAIN_SIGNAL|low_volume,3,3,LOW,33.33,-1.0,-0.3333,0.5
2026-05-30T15:11:12+00:00,setup_type_warnings,SECONDARY_SIGNAL|against_htf,setup_type_warnings,SECONDARY_SIGNAL|against_htf,6,6,LOW,33.33,-0.1204,-0.0201,0.9407
2026-05-30T15:11:12+00:00,setup_type_warnings,SECONDARY_SIGNAL|dirty_sideways_market,setup_type_warnings,SECONDARY_SIGNAL|dirty_sideways_market,2,2,LOW,50.0,-0.5896,-0.2948,0.4104
2026-05-30T15:11:12+00:00,setup_type_warnings,SECONDARY_SIGNAL|explosive_candle_without_pullback,setup_type_warnings,SECONDARY_SIGNAL|explosive_candle_without_pullback,2,2,LOW,0.0,-1.0133,-0.5067,0.0
2026-05-30T15:11:12+00:00,setup_type_warnings,SECONDARY_SIGNAL|low_volume,setup_type_warnings,SECONDARY_SIGNAL|low_volume,2,2,LOW,50.0,-0.5896,-0.2948,0.4104
