generated_at,ranking_type,group,trades,sample_size,sample_sufficiency,confidence,winrate,total_r,avg_r,profit_factor,expectancy,consistency,ranking_score,long_trades,short_trades,main_signal_trades,secondary_signal_trades
2026-05-28T14:52:19+00:00,direction+market_regime,long|TRENDING,9,9,LOW,LOW,55.56,7.6265,0.8474,3.3213,0.8474,0.5556,16.9359,9,0,6,3
2026-05-28T14:52:19+00:00,session+market_regime,LONDON|HIGH_VOLATILITY,5,5,LOW,LOW,40.0,2.5615,0.5123,2.8435,0.5123,0.4,10.4485,1,4,2,3
2026-05-28T14:52:19+00:00,setup_type+entry_context,MAIN_SIGNAL|BREAKOUT,7,7,LOW,LOW,57.14,4.7552,0.6793,2.5851,0.6793,0.5714,12.6396,7,0,7,0
2026-05-28T14:52:19+00:00,setup_type+session,MAIN_SIGNAL|LONDON,8,8,LOW,LOW,62.5,4.451,0.5564,2.4837,0.5564,0.625,12.2934,5,3,8,0
2026-05-28T14:52:19+00:00,warnings,explosive_candle_without_pullback,3,3,LOW,LOW,33.33,0.9867,0.3289,1.9737,0.3289,0.3333,6.934,2,1,0,3
2026-05-28T14:52:19+00:00,session+market_regime,OVERLAP|TRENDING,9,9,LOW,LOW,33.33,3.5167,0.3907,1.8001,0.3907,0.3333,9.1168,7,2,5,4
2026-05-28T14:52:19+00:00,setup_type+direction,MAIN_SIGNAL|long,14,14,MEDIUM,MEDIUM,50.0,4.9188,0.3513,1.7027,0.3513,0.5,11.8242,14,0,14,0
2026-05-28T14:52:19+00:00,session+market_regime,LONDON|TRENDING,2,2,LOW,LOW,50.0,0.5,0.25,1.5,0.25,0.5,6.0,1,1,2,0
2026-05-28T14:52:19+00:00,setup_type+session,MAIN_SIGNAL|OVERLAP,8,8,LOW,LOW,37.5,2.4188,0.3024,1.4838,0.3024,0.375,7.5114,8,0,8,0
2026-05-28T14:52:19+00:00,direction+market_regime,short|HIGH_VOLATILITY,5,5,LOW,LOW,20.0,0.9202,0.184,1.4531,0.184,0.2,5.4264,0,5,1,4
2026-05-28T14:52:19+00:00,direction+market_regime,long|RANGING,9,9,LOW,LOW,55.56,0.5985,0.0665,1.1496,0.0665,0.5556,5.5645,9,0,6,3
2026-05-28T14:52:19+00:00,setup_type+direction,SECONDARY_SIGNAL|long,9,9,LOW,LOW,44.44,0.3062,0.034,1.0715,0.034,0.4444,4.7824,9,0,0,9
2026-05-28T14:52:19+00:00,setup_type+liquidity_sweep,MAIN_SIGNAL|none,22,22,MEDIUM,MEDIUM,36.36,0.8698,0.0395,1.0621,0.0395,0.3636,6.0848,14,8,22,0
2026-05-28T14:52:19+00:00,warnings,against_htf,19,19,MEDIUM,MEDIUM,36.84,0.4942,0.026,1.0493,0.026,0.3684,5.698,11,8,13,6
2026-05-28T14:52:19+00:00,session+market_regime,LONDON|RANGING,7,7,LOW,LOW,42.86,0.0225,0.0032,1.0065,0.0032,0.4286,4.3213,3,4,4,3
2026-05-28T14:52:19+00:00,session+market_regime,OVERLAP|RANGING,4,4,LOW,LOW,50.0,-0.1265,-0.0316,0.9367,-0.0316,0.5,4.2469,3,1,3,1
2026-05-28T14:52:19+00:00,setup_type+entry_context,MAIN_SIGNAL|PULLBACK,7,7,LOW,LOW,28.57,-0.5422,-0.0775,0.8916,-0.0775,0.2857,3.0981,3,4,7,0
2026-05-28T14:52:19+00:00,setup_type+entry_context,MAIN_SIGNAL|EXHAUSTION,3,3,LOW,LOW,33.33,-0.3432,-0.1144,0.8284,-0.1144,0.3333,3.3135,2,1,3,0
2026-05-28T14:52:19+00:00,penalties,UNKNOWN,45,45,HIGH,HIGH,31.11,-5.5754,-0.1239,0.7928,-0.1239,0.3111,-0.0565,23,22,22,23
2026-05-28T14:52:19+00:00,warnings,UNKNOWN,19,19,MEDIUM,MEDIUM,26.32,-5.0563,-0.2661,0.6068,-0.2661,0.2632,-1.0531,8,11,7,12
2026-05-28T14:52:19+00:00,setup_type+session,SECONDARY_SIGNAL|LONDON,6,6,LOW,LOW,16.67,-1.367,-0.2278,0.5232,-0.2278,0.1667,1.1795,0,6,0,6
2026-05-28T14:52:19+00:00,setup_type+session,SECONDARY_SIGNAL|NEW_YORK,8,8,LOW,LOW,37.5,-2.4083,-0.301,0.5183,-0.301,0.375,0.7533,4,4,0,8
2026-05-28T14:52:19+00:00,setup_type+entry_context,SECONDARY_SIGNAL|BREAKOUT,21,21,MEDIUM,MEDIUM,23.81,-5.8556,-0.2788,0.5081,-0.2788,0.2381,-2.1251,8,13,0,21
2026-05-28T14:52:19+00:00,setup_type+liquidity_sweep,SECONDARY_SIGNAL|none,23,23,MEDIUM,MEDIUM,26.09,-6.4452,-0.2802,0.5005,-0.2802,0.2609,-2.6615,9,14,0,23
2026-05-28T14:52:19+00:00,session+market_regime,NEW_YORK|TRENDING,4,4,LOW,LOW,25.0,-1.5,-0.375,0.5,-0.375,0.25,1.25,1,3,2,2
2026-05-28T14:52:19+00:00,warnings,low_volume,5,5,LOW,LOW,40.0,-1.5896,-0.3179,0.4701,-0.3179,0.4,1.5506,3,2,3,2
2026-05-28T14:52:19+00:00,setup_type+session,SECONDARY_SIGNAL|OVERLAP,9,9,LOW,LOW,22.22,-2.6699,-0.2967,0.4699,-0.2967,0.2222,-0.0635,5,4,0,9
2026-05-28T14:52:19+00:00,setup_type+direction,MAIN_SIGNAL|short,8,8,LOW,LOW,12.5,-4.049,-0.5061,0.4216,-0.5061,0.125,-1.8308,0,8,8,0
2026-05-28T14:52:19+00:00,setup_type+entry_context,SECONDARY_SIGNAL|CHOPPY_RANGE,2,2,LOW,LOW,50.0,-0.5896,-0.2948,0.4104,-0.2948,0.5,2.7312,1,1,0,2
2026-05-28T14:52:19+00:00,warnings,dirty_sideways_market,6,6,LOW,LOW,33.33,-2.5896,-0.4316,0.3526,-0.4316,0.3333,0.1155,3,3,4,2
2026-05-28T14:52:19+00:00,setup_type+entry_context,MAIN_SIGNAL|CHOPPY_RANGE,5,5,LOW,LOW,20.0,-3.0,-0.6,0.25,-0.6,0.2,-0.9,2,3,5,0
2026-05-28T14:52:19+00:00,direction+market_regime,long|HIGH_VOLATILITY,5,5,LOW,LOW,20.0,-3.0,-0.6,0.25,-0.6,0.2,-0.9,5,0,2,3
2026-05-28T14:52:19+00:00,direction+market_regime,short|RANGING,11,11,MEDIUM,MEDIUM,18.18,-6.6108,-0.601,0.2202,-0.601,0.1818,-3.625,0,11,4,7
2026-05-28T14:52:19+00:00,setup_type+direction,SECONDARY_SIGNAL|short,14,14,MEDIUM,MEDIUM,14.29,-6.7514,-0.4822,0.2166,-0.4822,0.1429,-3.8895,0,14,0,14
2026-05-28T14:52:19+00:00,session+market_regime,NEW_YORK|RANGING,9,9,LOW,LOW,22.22,-5.9083,-0.6565,0.156,-0.6565,0.2222,-3.9297,3,6,3,6
2026-05-28T14:52:19+00:00,warnings,high_spread,1,1,LOW,LOW,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,0,1
2026-05-28T14:52:19+00:00,session+market_regime,NEW_YORK|HIGH_VOLATILITY,1,1,LOW,LOW,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,1,0
2026-05-28T14:52:19+00:00,session+market_regime,OVERLAP|HIGH_VOLATILITY,4,4,LOW,LOW,0.0,-3.6413,-0.9103,0.0,-0.9103,0.0,-2.6413,3,1,0,4
2026-05-28T14:52:19+00:00,direction+market_regime,short|TRENDING,6,6,LOW,LOW,0.0,-5.1098,-0.8516,0.0,-0.8516,0.0,-4.1098,0,6,3,3
2026-05-28T14:52:19+00:00,setup_type+session,MAIN_SIGNAL|NEW_YORK,6,6,LOW,LOW,0.0,-6.0,-1.0,0.0,-1.0,0.0,-5.0,1,5,6,0
