generated_at,ranking_type,group,trades,sample_size,sample_sufficiency,confidence,winrate,total_r,avg_r,profit_factor,expectancy,consistency,ranking_score,long_trades,short_trades,main_signal_trades,secondary_signal_trades
2026-05-28T14:52:19+00:00,warnings,explosive_candle_without_pullback,3,3,LOW,LOW,33.33,0.9867,0.3289,1.9737,0.3289,0.3333,6.934,2,1,0,3
2026-05-28T14:52:19+00:00,session,LONDON,14,14,MEDIUM,MEDIUM,42.86,3.084,0.2203,1.5257,0.2203,0.4286,9.4212,5,9,8,6
2026-05-28T14:52:19+00:00,direction,long,23,23,MEDIUM,MEDIUM,47.83,5.225,0.2272,1.463,0.2272,0.4783,11.5859,23,0,14,9
2026-05-28T14:52:19+00:00,market_regime,TRENDING,15,15,MEDIUM,MEDIUM,33.33,2.5167,0.1678,1.2998,0.1678,0.3333,8.1162,9,6,9,6
2026-05-28T14:52:19+00:00,trade_location,near_resistance,7,7,LOW,LOW,42.86,1.1323,0.1618,1.2831,0.1618,0.4286,5.9843,4,3,4,3
2026-05-28T14:52:19+00:00,trade_location,mid_range,9,9,LOW,LOW,33.33,0.6613,0.0735,1.1471,0.0735,0.3333,4.9554,5,4,2,7
2026-05-28T14:52:19+00:00,setup_type,MAIN_SIGNAL,22,22,MEDIUM,MEDIUM,36.36,0.8698,0.0395,1.0621,0.0395,0.3636,6.0848,14,8,22,0
2026-05-28T14:52:19+00:00,warnings,against_htf,19,19,MEDIUM,MEDIUM,36.84,0.4942,0.026,1.0493,0.026,0.3684,5.698,11,8,13,6
2026-05-28T14:52:19+00:00,session,OVERLAP,17,17,MEDIUM,MEDIUM,29.41,-0.2511,-0.0148,0.975,-0.0148,0.2941,4.5812,13,4,8,9
2026-05-28T14:52:19+00:00,trade_location,near_support,15,15,MEDIUM,MEDIUM,33.33,-0.4811,-0.0321,0.9472,-0.0321,0.3333,4.4132,9,6,9,6
2026-05-28T14:52:19+00:00,entry_context,BREAKOUT,28,28,MEDIUM,MEDIUM,32.14,-1.1004,-0.0393,0.9262,-0.0393,0.3214,3.7162,15,13,7,21
2026-05-28T14:52:19+00:00,entry_context,PULLBACK,7,7,LOW,LOW,28.57,-0.5422,-0.0775,0.8916,-0.0775,0.2857,3.0981,3,4,7,0
2026-05-28T14:52:19+00:00,trade_location,discount_zone,6,6,LOW,LOW,33.33,-0.2983,-0.0497,0.8702,-0.0497,0.3333,3.442,2,4,2,4
2026-05-28T14:52:19+00:00,entry_context,EXHAUSTION,3,3,LOW,LOW,33.33,-0.3432,-0.1144,0.8284,-0.1144,0.3333,3.3135,2,1,3,0
2026-05-28T14:52:19+00:00,liquidity_sweep,none,45,45,HIGH,HIGH,31.11,-5.5754,-0.1239,0.7928,-0.1239,0.3111,-0.0565,23,22,22,23
2026-05-28T14:52:19+00:00,market_regime,HIGH_VOLATILITY,10,10,MEDIUM,MEDIUM,20.0,-2.0798,-0.208,0.6551,-0.208,0.2,1.8304,5,5,3,7
2026-05-28T14:52:19+00:00,market_regime,RANGING,20,20,MEDIUM,MEDIUM,35.0,-6.0123,-0.3006,0.5181,-0.3006,0.35,-1.9261,9,11,10,10
2026-05-28T14:52:19+00:00,setup_type,SECONDARY_SIGNAL,23,23,MEDIUM,MEDIUM,26.09,-6.4452,-0.2802,0.5005,-0.2802,0.2609,-2.6615,9,14,0,23
2026-05-28T14:52:19+00:00,warnings,low_volume,5,5,LOW,LOW,40.0,-1.5896,-0.3179,0.4701,-0.3179,0.4,1.5506,3,2,3,2
2026-05-28T14:52:19+00:00,warnings,dirty_sideways_market,6,6,LOW,LOW,33.33,-2.5896,-0.4316,0.3526,-0.4316,0.3333,0.1155,3,3,4,2
2026-05-28T14:52:19+00:00,direction,short,22,22,MEDIUM,MEDIUM,13.64,-10.8004,-0.4909,0.3085,-0.4909,0.1364,-7.7742,0,22,8,14
2026-05-28T14:52:19+00:00,entry_context,CHOPPY_RANGE,7,7,LOW,LOW,28.57,-3.5896,-0.5128,0.2821,-0.5128,0.2857,-1.1683,3,4,5,2
2026-05-28T14:52:19+00:00,session,NEW_YORK,14,14,MEDIUM,MEDIUM,21.43,-8.4083,-0.6006,0.2356,-0.6006,0.2143,-5.2942,5,9,6,8
2026-05-28T14:52:19+00:00,trade_location,premium_zone,8,8,LOW,LOW,12.5,-6.5896,-0.8237,0.0586,-0.8237,0.125,-5.0974,3,5,5,3
2026-05-28T14:52:19+00:00,warnings,high_spread,1,1,LOW,LOW,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,0,1
