timestamp,symbol,session,direction,setup_type,score,entry_context,market_regime,trade_location,rejection_reasons,result_status,result_r
2026-04-28T15:00:41.323405+00:00,BTCUSDT,OVERLAP,LONG,MAIN_SIGNAL,65.0,BREAKOUT,TRENDING,near_support,breakout_bad_location,sl_hit,-1.0
2026-04-29T13:13:01.978841+00:00,BTCUSDT,OVERLAP,LONG,MAIN_SIGNAL,65.0,BREAKOUT,TRENDING,near_support,breakout_bad_location,tp2_hit,4.2552
2026-04-29T17:01:28.560891+00:00,BNBUSDT,OVERLAP,LONG,MAIN_SIGNAL,55.0,PULLBACK,RANGING,mid_range,market_regime_ranging|against_htf|edge_activation_requires_trending,sl_hit,-1.0
2026-04-29T13:13:13.860447+00:00,AVAXUSDT,OVERLAP,LONG,MAIN_SIGNAL,55.0,PULLBACK,RANGING,near_support,market_regime_ranging|against_htf|edge_activation_requires_trending,tp2_hit,1.5068
2026-04-30T08:36:03.459486+00:00,XRPUSDT,OVERLAP,LONG,MAIN_SIGNAL,45.0,BREAKOUT,RANGING,near_support,market_regime_ranging|breakout_bad_location|against_htf|edge_activation_requires_trending,sl_hit,-1.0
2026-05-03T22:04:25.774856+00:00,DOGEUSDT,LONDON,LONG,MAIN_SIGNAL,55.0,CHOPPY_RANGE,RANGING,near_support,market_regime_ranging|entry_context_choppy_range|low_volume|dirty_sideways_market|edge_activation_requires_trending|edge_activation_requires_overlap_session|edge_activation_choppy_range,expired,1.0
2026-05-03T22:04:58.779621+00:00,DOGEUSDT,OVERLAP,LONG,SECONDARY_SIGNAL,90.0,BREAKOUT,TRENDING,mid_range,setup_type_secondary_signal|edge_activation_secondary_signal,expired,-0.2855
2026-05-04T08:56:58.368328+00:00,ETHUSDT,NEW_YORK,LONG,SECONDARY_SIGNAL,60.0,BREAKOUT,RANGING,near_resistance,market_regime_ranging|breakout_bad_location|setup_type_secondary_signal|edge_activation_requires_trending|edge_activation_requires_overlap_session|edge_activation_secondary_signal,expired,0.6813
2026-05-04T09:04:42.436277+00:00,AVAXUSDT,NEW_YORK,LONG,SECONDARY_SIGNAL,80.0,CHOPPY_RANGE,RANGING,premium_zone,market_regime_ranging|entry_context_choppy_range|trade_location_premium_zone|setup_type_secondary_signal|against_htf|low_volume|dirty_sideways_market|edge_activation_requires_trending|edge_activation_requires_overlap_session|edge_activation_choppy_range|edge_activation_premium_zone|edge_activation_secondary_signal,expired,0.4104
2026-05-04T08:57:04.970837+00:00,DOTUSDT,NEW_YORK,LONG,SECONDARY_SIGNAL,55.0,BREAKOUT,TRENDING,mid_range,setup_type_secondary_signal|against_htf|edge_activation_requires_overlap_session|edge_activation_secondary_signal,tp2_hit,1.5
2026-05-04T16:46:20.617798+00:00,BTCUSDT,LONDON,LONG,MAIN_SIGNAL,70.0,BREAKOUT,RANGING,discount_zone,market_regime_ranging|edge_activation_requires_trending|edge_activation_requires_overlap_session,expired,1.0
2026-05-04T16:46:21.594025+00:00,ETHUSDT,LONDON,SHORT,SECONDARY_SIGNAL,80.0,BREAKOUT,HIGH_VOLATILITY,discount_zone,market_regime_not_trending|setup_type_secondary_signal|short_shadow_mode|short_without_high_historical_edge|against_htf|edge_activation_requires_trending|edge_activation_requires_overlap_session|edge_activation_requires_long|edge_activation_secondary_signal,expired,-0.1795
2026-05-18T12:21:09.116239+00:00,BNBUSDT,LONDON,SHORT,MAIN_SIGNAL,50.0,PULLBACK,TRENDING,near_resistance,short_shadow_mode|short_without_high_historical_edge|edge_activation_requires_overlap_session|edge_activation_requires_long,sl_hit,-1.0
2026-05-18T12:21:09.116239+00:00,BNBUSDT,LONDON,LONG,MAIN_SIGNAL,50.0,BREAKOUT,TRENDING,near_resistance,breakout_bad_location|against_htf|edge_activation_requires_overlap_session,tp2_hit,1.5
