dimension,value,classification,labeled_rows,winrate,avg_result_r,total_result_r,confidence_level,recommendation,next_action
has_market_structure_range_penalty,False,DANGEROUS,32,25.0,-0.2228,-7.1302,HIGH,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
has_secondary_confluence_bonus,False,DANGEROUS,32,25.0,-0.2228,-7.1302,HIGH,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
has_timeframe_alignment_penalty,False,DANGEROUS,32,25.0,-0.2228,-7.1302,HIGH,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
has_low_volume,False,DANGEROUS,29,27.59,-0.1424,-4.1302,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
has_dirty_sideways_market,False,DANGEROUS,28,28.57,-0.1118,-3.1302,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
setup_type,MAIN_SIGNAL,DANGEROUS,19,26.32,-0.1121,-2.1302,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
has_against_htf,False,DANGEROUS,18,16.67,-0.4025,-7.2448,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
entry_context,BREAKOUT,DANGEROUS,17,29.41,-0.0732,-1.2448,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
direction,short,DANGEROUS,15,13.33,-0.5699,-8.549,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
market_regime,RANGING,DANGEROUS,14,14.29,-0.6424,-8.9932,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
setup_type,SECONDARY_SIGNAL,DANGEROUS,13,23.08,-0.3846,-5.0,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
session,NEW_YORK,DANGEROUS,12,8.33,-0.7917,-9.5,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
setup_type+entry_context,SECONDARY_SIGNAL|BREAKOUT,DANGEROUS,12,25.0,-0.3333,-4.0,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
trade_location,near_support,DANGEROUS,11,27.27,-0.0671,-0.738,MEDIUM,evitar_publicacion_y_revisar_gate,validar_si_debe_bloquear_publico
direction+market_regime,short|RANGING,AVOID_PUBLIC,9,11.11,-0.7222,-6.5,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location,premium_zone,AVOID_PUBLIC,7,0.0,-1.0,-7.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
market_regime+entry_context,RANGING|BREAKOUT,AVOID_PUBLIC,6,16.67,-0.5833,-3.5,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
market_regime,HIGH_VOLATILITY,AVOID_PUBLIC,6,16.67,-0.3415,-2.049,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
entry_context,CHOPPY_RANGE,AVOID_PUBLIC,5,0.0,-1.0,-5.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
market_regime+entry_context,RANGING|CHOPPY_RANGE,AVOID_PUBLIC,5,0.0,-1.0,-5.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
market_regime+entry_context,HIGH_VOLATILITY|BREAKOUT,AVOID_PUBLIC,5,0.0,-1.0,-5.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
direction+market_regime,long|RANGING,AVOID_PUBLIC,5,20.0,-0.4986,-2.4932,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,ETHUSDT,AVOID_PUBLIC,5,20.0,-0.4686,-2.3432,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
direction+market_regime,short|TRENDING,AVOID_PUBLIC,4,0.0,-1.0,-4.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
direction+market_regime,long|HIGH_VOLATILITY,AVOID_PUBLIC,4,0.0,-1.0,-4.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
has_dirty_sideways_market,True,AVOID_PUBLIC,4,0.0,-1.0,-4.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
market_regime+entry_context,TRENDING|PULLBACK,AVOID_PUBLIC,4,0.0,-1.0,-4.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
setup_type+entry_context,MAIN_SIGNAL|CHOPPY_RANGE,AVOID_PUBLIC,4,0.0,-1.0,-4.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
has_low_volume,True,AVOID_PUBLIC,3,0.0,-1.0,-3.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,SOLUSDT,AVOID_PUBLIC,3,0.0,-1.0,-3.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
symbol,ICPUSDT,AVOID_PUBLIC,2,0.0,-1.0,-2.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,premium_zone|CHOPPY_RANGE,AVOID_PUBLIC,2,0.0,-1.0,-2.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
