signal_id,timestamp,symbol,direction,entry,stop_loss,take_profit,time_barrier_bars,label,label_reason,result_r,max_r,min_r,bars_to_label,market_regime,session,entry_context,trade_location,setup_type,warnings,penalties
paper_574e48fcba32,2026-04-28T10:02:12.133433+00:00,SOLUSDT,long,83.64,83.330286,83.949714,24,SL_HIT,recorded_status_sl,-1.0,1.1624,-1.4207,4,RANGING,LONDON,CHOPPY_RANGE,near_support,MAIN_SIGNAL,"[""low_volume"", ""dirty_sideways_market"", ""against_htf""]",
paper_7e59b7f6c9e5,2026-04-28T10:02:16.307129+00:00,AVAXUSDT,short,9.15,9.330429,8.969571,24,SL_HIT,recorded_status_sl,-1.0,0.2217,-1.1085,12,RANGING,LONDON,BREAKOUT,discount_zone,SECONDARY_SIGNAL,[],
paper_649bf046a003,2026-04-28T14:14:33.249576+00:00,BTCUSDT,long,76189.84,75853.086,76526.594,24,SL_HIT,recorded_status_sl,-1.0,0.6589,-1.5538,3,TRENDING,OVERLAP,BREAKOUT,near_support,MAIN_SIGNAL,[],
paper_510c20e135f8,2026-04-28T14:14:38.968556+00:00,ETHUSDT,long,2276.36,2255.525143,2297.194857,24,TP_HIT,recorded_status_tp,1.6568,2.6676,-0.8697,9,TRENDING,OVERLAP,EXHAUSTION,mid_range,MAIN_SIGNAL,"[""against_htf""]",
paper_c94d19d20d84,2026-04-28T14:14:41.645716+00:00,SOLUSDT,long,83.55,83.102286,83.997714,24,SL_HIT,recorded_status_sl,-1.0,1.0051,-1.2731,3,TRENDING,OVERLAP,EXHAUSTION,near_support,MAIN_SIGNAL,"[""against_htf""]",
paper_17caaed62ea9,2026-04-28T14:14:43.767875+00:00,XRPUSDT,short,1.3781,1.403494,1.352706,24,TIMEOUT,recorded_status_timeout,-0.382,0.4529,-0.8467,24,TRENDING,OVERLAP,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
paper_48a7dc3fae23,2026-04-28T14:14:45.748676+00:00,BNBUSDT,long,622.22,620.104857,624.335143,24,SL_HIT,recorded_status_sl,-1.0,0.6666,-1.5224,3,TRENDING,OVERLAP,PULLBACK,near_support,MAIN_SIGNAL,"[""against_htf""]",
paper_2d92dc2ee93c,2026-04-28T15:00:41.459369+00:00,BTCUSDT,long,75949.99,75590.901571,76309.078429,24,TP_HIT,recorded_status_tp,4.2552,4.5849,-0.7892,6,TRENDING,OVERLAP,BREAKOUT,near_support,MAIN_SIGNAL,[],
paper_bf945802b0be,2026-04-28T15:00:45.167918+00:00,XRPUSDT,short,1.3699,1.403561,1.336239,24,TIMEOUT,recorded_status_timeout,-0.7278,0.098,-0.8823,24,TRENDING,OVERLAP,BREAKOUT,near_support,SECONDARY_SIGNAL,"[""explosive_candle_without_pullback""]",
paper_72cb1df1ca8a,2026-04-28T15:00:45.883088+00:00,BNBUSDT,long,622.29,618.540286,626.039714,24,SL_HIT,recorded_status_sl,-1.0,1.0054,-1.6215,7,RANGING,OVERLAP,PULLBACK,mid_range,MAIN_SIGNAL,"[""against_htf""]",
paper_870fb8b37b42,2026-04-28T15:00:47.446088+00:00,AVAXUSDT,long,9.17,9.097,9.243,24,TP_HIT,recorded_status_tp,1.5068,2.4658,-0.8219,5,RANGING,OVERLAP,PULLBACK,near_support,MAIN_SIGNAL,"[""against_htf""]",
paper_6a4932df60ec,2026-04-29T13:13:09.111180+00:00,XRPUSDT,short,1.3833,1.408224,1.358376,24,TIMEOUT,recorded_status_timeout,-0.4775,0.67,-0.654,24,RANGING,LONDON,BREAKOUT,discount_zone,SECONDARY_SIGNAL,[],
paper_292d78d82e52,2026-04-29T13:13:10.433358+00:00,BNBUSDT,short,623.88,630.070857,617.689143,24,TP_HIT,recorded_status_tp,1.5,1.5345,-0.0517,5,RANGING,LONDON,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
paper_0b7e085088d6,2026-04-29T14:31:31.479644+00:00,XRPUSDT,long,1.3758,1.368829,1.382771,24,SL_HIT,recorded_status_sl,-1.0,0.0,-1.205,1,RANGING,OVERLAP,BREAKOUT,near_support,MAIN_SIGNAL,"[""against_htf""]",
paper_ae3246da176e,2026-04-29T14:31:33.493087+00:00,BNBUSDT,short,622.17,630.106429,614.233571,24,TIMEOUT,recorded_status_timeout,0.3667,0.9815,-0.0844,24,RANGING,OVERLAP,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
